block_index,rewarded_modality,target,is_first_block_aud,response_rate_median,cross_modality_dprime_median,signed_cross_modality_dprime_median,aud_dprime_median,vis_dprime_median,n_subjects,n_sessions
0,vis,vis,false,1.0,2.772523451815524,2.772523451815524,-0.32303524800206895,3.557270251423181,30,45
0,vis,aud,false,0.16470588235294117,2.772523451815524,2.772523451815524,-0.32303524800206895,3.557270251423181,30,45
1,aud,vis,false,0.3684210526315789,1.8037971417730705,-1.8037971417730705,2.162792256500463,-0.16198476184011784,30,45
1,aud,aud,false,1.0,1.8037971417730705,-1.8037971417730705,2.162792256500463,-0.16198476184011784,30,45
2,vis,vis,false,1.0,2.256685818543648,2.256685818543648,-0.566413680131125,3.310242608557303,30,45
2,vis,aud,false,0.3125,2.256685818543648,2.256685818543648,-0.566413680131125,3.310242608557303,30,45
3,aud,aud,false,1.0,1.8913095606679446,-1.8913095606679446,2.4502454426351465,-0.3498289817710845,30,45
3,aud,vis,false,0.41617647058823526,1.8913095606679446,-1.8913095606679446,2.4502454426351465,-0.3498289817710845,30,45
4,vis,vis,false,1.0,1.917024064381946,1.917024064381946,-0.3435202320029441,3.057664405132604,30,45
4,vis,aud,false,0.31973684210526315,1.917024064381946,1.917024064381946,-0.3435202320029441,3.057664405132604,30,45
5,aud,vis,false,0.3431372549019608,1.7455139767447854,-1.7455139767447854,2.3247951795555784,-0.29238127784633305,30,45
5,aud,aud,false,0.9861111111111112,1.7455139767447854,-1.7455139767447854,2.3247951795555784,-0.29238127784633305,30,45
0,aud,vis,true,0.375,2.1794102574868965,-2.1794102574868965,2.4221545981089556,-0.04861605855920148,23,37
0,aud,aud,true,1.0,2.1794102574868965,-2.1794102574868965,2.4221545981089556,-0.04861605855920148,23,37
1,vis,aud,true,0.3333333333333333,2.0929816076296026,2.0929816076296026,-0.5361935425647585,3.288247452585349,23,37
1,vis,vis,true,1.0,2.0929816076296026,2.0929816076296026,-0.5361935425647585,3.288247452585349,23,37
2,aud,aud,true,1.0,1.982356886448892,-1.982356886448892,2.0073026171094446,-0.023425685797271445,23,37
2,aud,vis,true,0.40601503759398494,1.982356886448892,-1.982356886448892,2.0073026171094446,-0.023425685797271445,23,37
3,vis,vis,true,1.0,2.1969101126958073,2.1969101126958073,-0.33653853205049145,3.3650355448496874,23,37
3,vis,aud,true,0.35657894736842105,2.1969101126958073,2.1969101126958073,-0.33653853205049145,3.3650355448496874,23,37
4,aud,aud,true,1.0,1.8789644301562056,-1.8789644301562056,2.3339608162305696,-0.10344337623158922,22,36
4,aud,vis,true,0.3941176470588236,1.8789644301562056,-1.8789644301562056,2.3339608162305696,-0.10344337623158922,22,36
5,vis,vis,true,1.0,2.1118505177975457,2.1118505177975457,-0.35342644620939423,3.4056426274532416,22,36
5,vis,aud,true,0.28888888888888886,2.1118505177975457,2.1118505177975457,-0.35342644620939423,3.4056426274532416,22,36
